AAAAABBCDRR,ABRACADABRA
AAAAABCCRSS,ASARABACCAS
AAAAAGKNNTW,KAWANATANGA
AAAAANRRTTT,TARATANTARA
AAAABBINRST,SABBATARIAN
AAAABCCHILN,BACCHANALIA
AAAABCENRSS,SCARABAEANS
AAAABGKORSY,KABARAGOYAS
AAAACDMMRST,TARMACADAMS
AAAACGILPSS,PASSACAGLIA
AAAACILPSST,CATAPLASIAS
AAAACLMNRST,ALMACANTARS
AAAACNRRSVY,CARAVANSARY
AAAADEGLMMT,AMALGAMATED
AAAADENRRTT,TARANTARAED
AAAAEEGLOPS,PALAEOGAEAS
AAAAEGLMMST,AMALGAMATES
AAAAEHMMOTT,HAEMATOMATA
AAAAELMNQSU,AQUAMANALES
AAAAFINRRST,RASTAFARIAN
AAAAGHIPPRR,PARAGRAPHIA
AAAAGHRSSTY,SATYAGRAHAS
AAAAGLMMORT,AMALGAMATOR
AAAAGMSSSSU,MASSASAUGAS
AAAAHINPRTW,PARATANIWHA
AAAAHIPPRRX,PARAPHRAXIA
AAAAHIPPRSS,PARAPHASIAS
AAAAHMNPSTT,PHANTASMATA
AAAAIILMNRT,ANTIMALARIA
AAAAIKKPSWW,PIWAKAWAKAS
AAAAILNRSTT,TARTANALIAS
AAAALLLOOPZ,LALAPALOOZA
AAAALMNRSSZ,SALMANAZARS
AAAALPRSSTT,PARASTATALS
AAAAMPRRSTT,PARRAMATTAS
AAAAMRTZZZZ,RAZZAMATAZZ
AAABBCEELLN,BALANCEABLE
AAABBCIJOST,JABOTICABAS
AAABBCILSST,SABBATICALS
AAABBILMORT,AMOBARBITAL
AAABCCKNSSV,CANVASBACKS
AAABCDDIRRY,BRADYCARDIA
AAABCDEEINR,ABECEDARIAN
AAABCDEIORS,SCARABAEOID
AAABCDEIRSS,SCARABAEIDS
AAABCDELNRS,CANDELABRAS
AAABCDEMNRU,MACERANDUBA
AAABCEEIMRT,BACTERAEMIA
AAABCEGILLR,ALGEBRAICAL
AAABCEHINRT,ABRANCHIATE
AAABCEHNNRS,ANABRANCHES
AAABCEIILLM,BACILLAEMIA
AAABCEIMPRT,PARABEMATIC
AAABCEIRSST,SCARABAEIST
AAABCELLLOT,ALLOCATABLE
AAABCELLLRS,CLARABELLAS
AAABCELRTTT,ATTRACTABLE
AAABCHINRST,BATRACHIANS
AAABCIILNRS,BASICRANIAL
AAABCILLNTY,ABACTINALLY
AAABCILLOPR,PARABOLICAL
AAABCILNOTT,ABLACTATION
AAABCILPRST,PARABLASTIC
AAABCORRSTU,BARRACOUTAS
AAABDEEHHSY,DAHABEEYAHS
AAABDEGGNOV,VAGABONDAGE
AAABDEILNNS,ALABANDINES
AAABDEILNPT,INADAPTABLE
AAABDEILNST,ALABANDITES
AAABDEINPST,ANABAPTISED
AAABDEINPTZ,ANABAPTIZED
AAABDELLPPU,APPLAUDABLE
AAABDELNPTU,UNADAPTABLE
AAABDENNORW,ABANDONWARE
AAABDLLPPUY,APPLAUDABLY
AAABDMNRRSU,BARRAMUNDAS
AAABDMORSSS,AMBASSADORS
AAABEEGLLSV,SALVAGEABLE
AAABEEGLNRR,ARRANGEABLE
AAABEEHLNPT,ANALPHABETE
AAABEGIMNRS,MANGABEIRAS
AAABEHIMNPS,AMPHISBAENA
AAABEHINRRT,BREATHARIAN
AAABEHLNPST,ANALPHABETS
AAABEIKLLLS,ALKALISABLE
AAABEIKLLLZ,ALKALIZABLE
AAABEILLMRT,AMBILATERAL
AAABEILLNUV,UNAVAILABLE
AAABEILNRST,ALABASTRINE
AAABEILPPRS,APPRAISABLE
AAABEINPSST,ANABAPTISES
AAABEINPSTZ,ANABAPTIZES
AAABELLNPTU,UNPALATABLE
AAABELLRSST,ALABLASTERS
AAABELMOTTU,AUTOMATABLE
AAABELNNOTT,ANNOTATABLE
AAABELNRRTW,WARRANTABLE
AAABELRSSTW,BASALTWARES
AAABEPRRSUZ,SUPERBAZAAR
AAABGHILLSY,GALLABIYAHS
AAABGHINRSS,BARASINGHAS
AAABGHIOOPR,AGORAPHOBIA
AAABHIKRSTV,SVARABHAKTI
AAABHIOPQSU,AQUAPHOBIAS
AAABHIOPRST,ASTRAPHOBIA
AAABHKMRSTU,MUKHABARATS
AAABIINORST,ARABISATION
AAABIINORTZ,ARABIZATION
AAABILLNOSS,LABIONASALS
AAABILLNUVY,UNAVAILABLY
AAABIMNPSST,ANABAPTISMS
AAABIMPPRST,PARABAPTISM
AAABINPSSTT,ANABAPTISTS
AAABLLNPTUY,UNPALATABLY
AAABLNOPRSU,PARABOLANUS
AAABLNRRTWY,WARRANTABLY
AAABMORRSTU,BAROTRAUMAS
AAACCCEILTT,ACATALECTIC
AAACCCEINPT,CAPACITANCE
AAACCCILLTT,CATALLACTIC
AAACCCILMST,CATACLASMIC
AAACCCILSTT,CATACLASTIC
AAACCCISTTU,CATACAUSTIC
AAACCCJKKRS,CRACKAJACKS
AAACCDEHRST,SACCHARATED
AAACCDEIIMN,ACADEMICIAN
AAACCDEILMS,ACADEMICALS
AAACCDEIPTT,CAPACITATED
AAACCDGILNV,CAVALCADING
AAACCDHIRTY,TACHYCARDIA
AAACCEELMNT,CALCEAMENTA
AAACCEFLOST,CATAFALCOES
AAACCEHINPU,IPECACUANHA
AAACCEHNNST,CATANANCHES
AAACCEHNOPR,ACHAENOCARP
AAACCEHRSSS,SACCHARASES
AAACCEHRSST,SACCHARATES
