AAAAAALMRSSTT,TARAMASALATAS
AAAAACEHIMSTT,ACATAMATHESIA
AAAAACINRRSSV,CARAVANSARAIS
AAAAADENRRTTT,TARATANTARAED
AAAABCCEELRTU,BACCALAUREATE
AAAABCCHILNNS,BACCHANALIANS
AAAABCCILNNOT,TOBACCANALIAN
AAAABCDIILLTY,ADIABATICALLY
AAAABDEEGLNTV,ADVANTAGEABLE
AAAABDILMORSS,AMBASSADORIAL
AAAABDMNRSSSU,MASSARANDUBAS
AAAABEHILNPRT,ALPHABETARIAN
AAAABEHLPPRRS,PARAPHRASABLE
AAAACCCCIRSTU,ACCIACCATURAS
AAAACCDIIKLLS,LACKADAISICAL
AAAACCHILLNRT,CHARLATANICAL
AAAACCHINRSTT,ANACATHARTICS
AAAACCILLLPRT,PARALLACTICAL
AAAACCLMNORST,MALACOSTRACAN
AAAACDIILLNRT,CARDINALATIAL
AAAACEGILMOST,GALACTOSAEMIA
AAAACEHILMNTT,ANATHEMATICAL
AAAACEINRRSSV,CARAVANSARIES
AAAACEINRRSSV,CARAVANSERAIS
AAAACEMNORSTU,AMARANTACEOUS
AAAACEOPSSSTT,APOCATASTASES
AAAACGHILPPRR,PARAGRAPHICAL
AAAACILLLNPTY,APLANATICALLY
AAAACIMNRSSST,ANTIMACASSARS
AAAACIOPSSSTT,APOCATASTASIS
AAAADEPQRRSTU,PARAQUADRATES
AAAADILMNNRSS,SALAMANDRIANS
AAAADILMNOPTT,MALADAPTATION
AAAAEEGNRTUWW,TURANGAWAEWAE
AAAAEGGLNPRSU,PARALANGUAGES
AAAAEGHIMMNOT,HAEMANGIOMATA
AAAAEGIMMNRST,ANAGRAMMATISE
AAAAEGIMMNRTZ,ANAGRAMMATIZE
AAAAEGINPRSSS,ASPARAGINASES
AAAAEGNRSTVXZ,EXTRAVAGANZAS
AAAAEHILMSSST,THALASSAEMIAS
AAAAEHILNPPRR,PARAPHERNALIA
AAAAEIIMPRSST,PARASITAEMIAS
AAAAEMRSTZZZZ,RAZZAMATAZZES
AAAAGILMMNOST,AMALGAMATIONS
AAAAGIMMMNRST,ANAGRAMMATISM
AAAAGIMMNRSTT,ANAGRAMMATIST
AAAAHILMNNPST,PHANTASMALIAN
AAAAIIJMNNRTU,ANTIMARIJUANA
AAAAIILLMNRST,ANTIMALARIALS
AAAAILLPRRSSS,SARSAPARILLAS
AAAALLLLOOPSZ,LALLAPALOOZAS
AAABBCCIILLST,CABBALISTICAL
AAABBEELMRRSS,EMBARRASSABLE
AAABBEILNPRTT,PENTABARBITAL
AAABBIIMNRRSS,BARBARIANISMS
AAABBIINORRST,BARBARISATION
AAABBIINORRTZ,BARBARIZATION
