AAAAACEHIMSSTT,ACATAMATHESIAS
AAAAACGILMMNRT,ANAGRAMMATICAL
AAAAAGGINNRRTT,RANGATIRATANGA
AAAAAGINNRRTTT,TARATANTARAING
AAAABCCEEHIRRT,ARCHAEBACTERIA
AAAABCCEELRSTU,BACCALAUREATES
AAAABCCILNNOST,TOBACCANALIANS
AAAABEHILNPRST,ALPHABETARIANS
AAAACCDEINORSU,ANACARDIACEOUS
AAAACCILLPRTTY,PARATACTICALLY
AAAACCINNRSSTU,TRANSCAUCASIAN
AAAACCLMNORSST,MALACOSTRACANS
AAAACDGIILMMRT,DIAGRAMMATICAL
AAAACDGIILMPRT,PARADIGMATICAL
AAAACDIILLPRSY,PARADISAICALLY
AAAACDIILLPRSY,PARADISIACALLY
AAAACDIIMMNOST,MACADAMISATION
AAAACDIIMMNOTZ,MACADAMIZATION
AAAACEGILLMMNO,MEGALOMANIACAL
AAAACEGILMOSST,GALACTOSAEMIAS
AAAACEHILMNSTT,ANATHEMATICALS
AAAACEHMNORSTU,AMARANTHACEOUS
AAAACEIMNNRRST,SACRAMENTARIAN
AAAACGIMNOORST,ANGIOSARCOMATA
AAAACHILPPRRST,PARAPHRASTICAL
AAAADEGIMMNRST,ANAGRAMMATISED
AAAADEGIMMNRTZ,ANAGRAMMATIZED
AAAADEGINNQRRU,QUADRAGENARIAN
AAAADILLNOPTTY,ADAPTATIONALLY
AAAADILMNOPSTT,MALADAPTATIONS
AAAAEEGNRSTUWW,TURANGAWAEWAES
AAAAEGIMMNRSST,ANAGRAMMATISES
AAAAEGIMMNRSTZ,ANAGRAMMATIZES
AAAAFIILNNPRRS,INFRALAPSARIAN
AAAAGHIMNOPRST,PHANTASMAGORIA
AAAAGIMMMNRSST,ANAGRAMMATISMS
AAAAGIMMNRSSTT,ANAGRAMMATISTS
AAAAGIMMPRRSTT,PARAGRAMMATIST
AAAAIILLNOPSTT,PALATALISATION
AAAAIILLNOPTTZ,PALATALIZATION
AAAAILNPPRRSSU,SUPRALAPSARIAN
AAABBCHHIOOPRT,BATRACHOPHOBIA
AAABBCIIILLMNO,BIBLIOMANIACAL
AAABBEILNPRSTT,PENTABARBITALS
AAABBEINRRSSTU,ANTIBARBARUSES
AAABBIINORRSST,BARBARISATIONS
AAABBIINORRSTZ,BARBARIZATIONS
AAABCCEIILLMST,ACCLIMATISABLE
AAABCCEIILLMTZ,ACCLIMATIZABLE
AAABCCENNRSSSU,BANCASSURANCES
AAABCCILMNNOOY,CYANOCOBALAMIN
AAABCDEHINRSTU,CHATEAUBRIANDS
AAABCDGHILNORY,BRACHYDIAGONAL
AAABCDHILNORSU,SUBARACHNOIDAL
AAABCDIKNORSTW,BACKWARDATIONS
