AAAABCLZ,CALABAZA
AAAABENN,ANABAENA
AAAABFQU,AQUAFABA
AAAABKPS,BAASKAAP
AAAACCRR,CARACARA
AAAACGNR,CARAGANA
AAAACJRR,JARARACA
AAAACLMT,CALAMATA
AAAACNRS,ANASARCA
AAAADMTV,AMADAVAT
AAAADNPS,APADANAS
AAAADTVV,AVADAVAT
AAAAHJMR,MAHARAJA
AAAAHNRU,ARAHUANA
AAAAIKMN,KAMAAINA
AAAAIMPR,ARAPAIMA
AAAAIRTX,ATARAXIA
AAAAJKRR,JARARAKA
AAAAKKMT,TAKAMAKA
AAAAKKNT,KATAKANA
AAAAKKVV,KAVAKAVA
AAAAKKWW,KAWAKAWA
AAAAKLMT,KALAMATA
AAAALLVV,LAVALAVA
AAAALSTY,ATALAYAS
AAAAMMTT,MATAMATA
AAAANRSW,ARAWANAS
AAAANSSV,SAVASANA
AAAAPPRR,PARAPARA
AAAARRSS,SASARARA
AAABBCHL,CABBALAH
AAABBCLS,CABBALAS
AAABBELT,ABATABLE
AAABBHKL,KABBALAH
AAABBILT,ABBATIAL
AAABBKLS,KABBALAS
AAABCCLS,BACCALAS
AAABCCMW,MACCABAW
AAABCCRS,BACCARAS
AAABCCRT,BACCARAT
AAABCHIR,ABRACHIA
AAABCHLS,CALABASH
AAABCHLU,BACALHAU
AAABCHMU,MACAHUBA
AAABCHST,BACHATAS
AAABCILP,ABAPICAL
AAABCINT,ANABATIC
AAABCIRS,ARABICAS
AAABCITT,CIABATTA
AAABCLOS,BACALAOS
AAABCLSV,BACLAVAS
AAABCNRR,BARRACAN
AAABCNRR,BARRANCA
AAABCNRS,BARACANS
AAABCNRU,CARNAUBA
AAABCORS,CARABAOS
AAABCPRY,CAPYBARA
AAABCSSS,CASSABAS
AAABCSTW,CATAWBAS
AAABDEHH,DAHABEAH
AAABDEST,DATABASE
AAABDFRS,ABFARADS
AAABDHHI,DAHABIAH
AAABDHHL,HABDALAH
AAABDHIY,DAHABIYA
AAABDIKR,BAIDARKA
AAABDKNT,DATABANK
AAABDLMS,LAMBADAS
AAABDNNN,BANDANNA
AAABDNNS,BANDANAS
AAABDNRS,SARABAND
AAABDNRT,ABRADANT
