AAAABCLLV,BALACLAVA
AAAABCLMN,BALMACAAN
AAAABCLSZ,CALABAZAS
AAAABENNS,ANABAENAS
AAAABFQSU,AQUAFABAS
AAAABGNNU,GUANABANA
AAAABIKLL,BALALAIKA
AAAABJLMY,JAMBALAYA
AAAABKPSS,BAASKAAPS
AAAABLMMT,MATAMBALA
AAAACCHMT,TACAMAHAC
AAAACCHRR,ARRACACHA
AAAACCRRS,CARACARAS
AAAACDIMM,MACADAMIA
AAAACDJNR,JACARANDA
AAAACDKLY,ALACKADAY
AAAACEHNP,PANACHAEA
AAAACGILT,AGALACTIA
AAAACGNRS,CARAGANAS
AAAACHILS,ACHALASIA
AAAACHKKL,CHAKALAKA
AAAACHSUY,AYAHUASCA
AAAACIRRU,ARAUCARIA
AAAACJRRS,JARARACAS
AAAACLMST,CALAMATAS
AAAACLRRZ,ALCARRAZA
AAAACMNRT,CATAMARAN
AAAACNRSS,ANASARCAS
AAAADHMRZ,HARAMZADA
AAAADMSTV,AMADAVATS
AAAADSTVV,AVADAVATS
AAAAGLPRT,ALPARGATA
AAAAHHJMR,MAHARAJAH
AAAAHJMRS,MAHARAJAS
AAAAHKPPW,WHAKAPAPA
AAAAHMNRT,MARANATHA
AAAAHNRSU,ARAHUANAS
AAAAHNSSV,SHAVASANA
AAAAIKKKW,KAIKAWAKA
AAAAIKMNS,KAMAAINAS
AAAAILLPR,PARALALIA
AAAAILNPS,ANAPLASIA
AAAAIMPRS,ARAPAIMAS
AAAAIMRSU,MAIASAURA
AAAAIRSTX,ATARAXIAS
AAAAJKRRS,JARARAKAS
AAAAKKMST,TAKAMAKAS
AAAAKKNST,KATAKANAS
AAAAKKSVV,KAVAKAVAS
AAAAKKSWW,KAWAKAWAS
AAAAKLMST,KALAMATAS
AAAALLSVV,LAVALAVAS
AAAAMMSTT,MATAMATAS
AAAAMNPRY,PRANAYAMA
AAAAMPRTT,PARAMATTA
AAAANRRTT,TANTARARA
AAAANRRTT,TARANTARA
AAAANSSSV,SAVASANAS
